Country	numOneFor	GDPperCapita	GDP	pop1965	pop2015	growth	landSqMi	waterSqMi	density	continent	xCeil10	longEW	xForY5	yyy	latNS	yCeil5	yCeil10	detail	year	source	URL	URL2	extraBests	URL3	URL4
Canada	Personal freedom	43248.5	1550536520142	20072	35100	1.75	3511023	344080	10.0	NAmerica	-110	-110	-110	60	60	60	60	According to the annual prosperity index. 	2015.00	MontrealGazette	http://montrealgazette.com/news/national/canada-is-number-1-for-personal-freedom		Admirers	http://www.vancitybuzz.com/2015/07/canada-ranked-most-admired-country-in-world-reputation/	
United States	Spam emails	56115.7	18036648000000	193527	321369	1.66	3531925	145724	91.0	NAmerica	-100	-100	-105	41	41	45	50	14.6% of all spam comes from the US	2013.00	Sophos	https://blogs.sophos.com/2013/10/25/how-spammy-is-your-country-heres-how-to-stop-spam/		confinement, civilian gun ownership, waste, meat consumption, water consumption		
Mexico	Lemons	9005.0	1143793184190	45143	121737	2.70	750561	7890	162.2	CAmerica	-100	-102	-100	23	23	25	30	Producer	2014.00	IndexMundi	http://www.indexmundi.com/agriculture/?commodity=lemons&graph=production		avocados		
Guatemala	Cardamon	3903.5	63794152886	4746	14919	3.14	41374	670	360.6	CAmerica	-90	-90	-96	16	15	20	20	Production	2014.00	TimesofIndia	http://timesofindia.indiatimes.com/city/kochi/Kerala-cardamom-trying-to-fight-off-its-Guatemalan-cousin/articleshow/34016620.cms				
Cuba	Doctors			7810	11032	1.41	42400	400	260.2	CAmerica	-80	-80	-90	20	20	20	20	Physicians per 10,000 people (67)	2014.00	UNDP	http://hdr.undp.org/en/content/gender-development-index-gdi		Baseball	Total world cup wins	
El Salvador	Least police	4219.4	25850200000	3018	6142	2.04	8000	120	767.8	CAmerica	-80	-89	-90	12	14	15	20	Fewest cops per capita	2013.00	ZeroHedge	http://www.zerohedge.com/news/2013-12-12/cops-capita-who-has-worlds-most-and-least-concentrated-police-force				
Costa Rica	Wellbeing	11260.1	54136834091	1488	4815	3.24	19710	15	244.3	CAmerica	-80	-84	-90	5	10	10	10	Combined longevity, happiness, sustainability 	2014.00	HappyPlanetIndex	http://www.happyplanetindex.org/data/				
Jamaica	Older wives	5232.0	14262190323	1778	2951	1.66	4182	62	705.6	CAmerica	-70	-73	-80	23	18	20	20	Highest mean age of first marriage for women	2015.00	Independent	http://www.independent.co.uk/life-style/love-sex/marriage/a-young-persons-guide-to-i-do-whats-it-like-to-get-married-in-your-mid20s-9496937.html				
Honduras	Murder	2528.9	20420967149	2330	8747	3.75	43200	77	202.5	CAmerica	-80	-86	-80	15	15	15	20	Per 100,000 population	2014.00	HuffingtonPost	http://www.huffingtonpost.com/2014/04/10/worlds-highest-murder-rates_n_5125188.html				
Panama	Shipping fleet	13268.1	52132289747	1326	3658	2.76	28700	420	127.5	CAmerica	-80	-80	-80	0	9	10	10	Officially, but there are rumours of scandal (see source).	2014.00	BBC	http://www.bbc.co.uk/news/world-latin-america-28558480				
Bolivia	Brazil nuts	3076.8	32997684515	3854	10801	2.80	418265	5900	25.8	SAmerica	-60	-65	-75	-17	-17	-15	-10	Production	2013.00	Quartz	http://qz.com/91743/brazil-nuts-arent-brazilian-our-tea-isnt-from-china-and-all-the-hummus-is-made-in-virginia/				
Bahamas	Rich American tourists	22817.2	8853519100	140	325	2.32	3860	1490	84.2	CAmerica	-70	-73	-70	25	25	25	30	Most-visited country for American luxury travellers	2013.00	Resonance	http://www.resonanceco.com/blog/resonance-report-bahamas-most-popular/				
Haiti	Cholera	818.3	8765329890	4094	10111	2.47	10640	73	950.3	CAmerica	-60	-67	-70	17	20	20	20	Number of cases	2015.00	Reuters	http://uk.reuters.com/article/2015/04/17/us-haiti-cholera-idUKKBN0N82O220150417				
Trinidad and Tobago	Country Folk	17321.9	23559287484	940	1223	1.30	1980	0	617.7	CAmerica	-60	-61	-70	11	11	15	20	Highest % rural population	2014.00	WorldBank	http://data.worldbank.org/indicator/SP.RUR.TOTL.ZS?order=wbapi_data_value_2013+wbapi_data_value+wbapi_data_value-last&sort=desc				
Venezuela	Cheapest petrol	0.0	0.0	9068	29276	3.23	340560	12000	86.0	SAmerica	-60	-66	-70	8	8	10	10		2014.00	WorldBank	http://data.worldbank.org/indicator/EP.PMP.SGAS.CD?order=wbapi_data_value_2012+wbapi_data_value+wbapi_data_value-last&sort=desc		Most miserable economy to live and work 	http://www.bloomberg.com/news/articles/2015-03-02/the-15-most-miserable-economies-in-the-world	
Peru	Cocaine	6027.1	189111139010	11468	30445	2.65	494209	2020	61.6	SAmerica	-70	-76	-70	-10	-10	-10	-10	Producer	2012.00	InsightCrime	http://www.insightcrime.org/news-briefs/peru-biggest-coca-cultivator-in-latam				
Ecuador	Biodiversity	6205.1	100176808000	5118	15869	3.10	98985	2590	160.3	SAmerica	-70	-77	-67	-2	-2	0	0	Most biodiversity per square km	2014.00	BioDiversityGroup	http://biodiversitygroup.org/documenting-biodiversity-ecuador/	weak link - changed link			
Colombia	Emeralds	6056.1	292080155633	18647	46737	2.51	401000	38690	116.6	SAmerica	-70	-72	-65	4	4	5	10	Producer	2012.00	Reuters	http://www.reuters.com/article/2012/06/13/us-investment-emeralds-idUSBRE85C1P320120613				
Chile	Copper	13416.2	240796388429	8510	17509	2.06	287187	4750	61.0	SAmerica	-70	-71	-69	-25	-30	-30	-30	Production	2014.00	Mining	http://www.mining.com/peru-set-to-regain-worlds-second-largest-copper-producer-place-this-year-26694/				
